messages,labels
"user1: Hey team, should we sync up about the database migration?, user2: Yeah we should. How's tomorrow at 2pm?, user3: Works for me, user2: Great, I'll send a Meet link, user1: Perfect, see you all tomorrow at 2",1
"alex_dev: The new feature is ready for review, sarah_qa: I'll take a look. Should we do a walkthrough?, alex_dev: Sure, want to hop on Discord in 30 minutes?, sarah_qa: Sounds good",1
"support_bob: Hey @customer123, I can help with that error, customer123: Thanks! Could we schedule a screen share?, support_bob: Sure, I'm free this afternoon at 3pm EST, customer123: Perfect, that works for me",1
"dev1: Anyone seen this weird NPM error?, dev2: Yeah, had that last week, dev1: How did you fix it?, dev2: Changed the package version to 2.1.0, dev1: Thanks, will try that",0
"pm_jane: Team, we need to discuss Q4 planning, tech_lead: Agreed. How about next Tuesday 11am?, designer1: +1, backend_dev: Works for me, pm_jane: Great, will send calendar invite",1
"newbie: How do I set up the dev environment?, senior_dev: Check the wiki, newbie: Still confused about step 3, senior_dev: Want to do a quick call?, newbie: Please!, senior_dev: Give me 10 mins",1
"alice: The client wants to review the design changes, bob: Let's set up a meeting, alice: How's Friday at 4pm?, bob: Can we do 3pm instead?, alice: Sure, I'll send a Zoom link",1
"user_support: @client_tom your issue requires more investigation, client_tom: Ok, when can we discuss?, user_support: Tomorrow morning? Say 10am?, client_tom: Perfect",1
"tester1: Found a critical bug in production, dev_lead: Details?, tester1: Auth failing for EU users, dev_lead: Let's jump on a call now, tester1: Joining emergency channel",0
"proj_manager: Need to sync on project timeline, team_lead: Sure, when?, proj_manager: This Thursday 2pm?, dev1: Can't do Thursday, proj_manager: How about Friday same time?, team_lead: Friday works, dev1: +1",1
"intern: Getting a weird compiler error, mentor: Share your screen on Discord?, intern: Now?, mentor: Yes, I have 15 minutes, intern: Joining",0
"coordinator: Monthly review coming up, team_member1: When is it?, coordinator: Next Wednesday 1pm, team_member2: Location?, coordinator: Meeting room 3 or Zoom, team_member1: I'll be on Zoom",1
"user1: System is down!, user2: Checking logs, user3: Found the issue, user1: Status?, user2: Restarting services, user3: Monitoring now",0
"organizer: Planning team building event, member1: Cool! When?, organizer: Next Friday 3pm to 5pm, member2: Location?, organizer: Conference room A, member3: Will be there!",1
"dev1: These unit tests are failing randomly, dev2: Race condition maybe?, dev1: Possibly, dev2: Want to debug together?, dev1: Sure, dev2: Give me 5 minutes",0
